Subject Code	Course Number	Class Number	Associated Class Number	Days	Start Time	End Time	Room	Instructor(s)	instructor_pittid	Ta(s)	Type	Session	Writing	Enrollment Cap	Current Enrollment	Current Waitlist	cross_list_id	Notes	Description	deleted	Academic Term Code	last_modified
CS	1675	28001	1010	TuTh	02:50 pm	04:05 pm	TBA-54	M. Hauskrecht	milos		LEC	AT		54					Enrollment Cap: 54	0	2214	2020-10-28 11:42:18
CS	1675	28035	1010	M	11:05 am	11:55 am	TBA-27	TBD			REC	AT		27					Enrollment Cap: 27	0	2214	2020-10-28 11:42:18
CS	1675	28036	1010	M	12:10 pm	01:00 pm	TBA-27	TBD			REC	AT		27					Enrollment Cap: 27	0	2214	2020-10-28 11:42:18
CS	1678	5932	1000	TuTh	02:50 pm	04:05 pm	TBA-40	A. Kovashka	aik85		LEC	AT						NEW COURSE	NEW COURSE	0	2214	2020-10-28 11:42:18
CS	1699	31455	1000	MW	03:25 pm	04:40 pm	TBA-40	E. Walker	eawalker		LEC	AT								0	2214	2020-10-28 11:42:18
CS	1699	4744	1100	TuTh	09:25 am	10:40 am	TBA-40	M. Alikhani	malihe		LEC	AT						NEW COURSE	NEW COURSE	0	2214	2020-10-28 11:42:18
CS	1900	25677	1030	F	01:15 pm	02:05 pm	TBA	D. Ahn	wahn		INT	AT								0	2214	2020-10-28 11:42:18
CS	1902	25683	1010	ByAppt	12:00 am	12:00 am	TBA	J. Ramirez	nomad		DIR	AT								0	2214	2020-10-28 11:42:18
CS	1906	8330	1000	ByAppt	12:00 am	12:00 am	TBA	TBD			IND	AT		40				NEW COURSE	Enrollment Cap: 40 / NEW COURSE	0	2214	2020-10-28 11:42:18
CS	1950	25692	1030	F	01:15 pm	02:05 pm	TBA	D. Ahn	wahn		DIR	AT								0	2214	2020-10-28 11:42:18
CS	1980	25695	1030	F	01:15 pm	03:05 pm	TBA	L. Nunes Quaresma de Oliveira	lun8		PRA	AT								0	2214	2020-10-28 11:42:18
CS	2000	25701	1010	ByAppt	12:00 am	12:00 am	TBA	X. Tang	tax6		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25703	1020	ByAppt	12:00 am	12:00 am	TBA	S. Chang	schang		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25704	1030	ByAppt	12:00 am	12:00 am	TBA	B. Childers	childers		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25705	1040	ByAppt	12:00 am	12:00 am	TBA	P. Chrysanthis	panos		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25706	1050	ByAppt	12:00 am	12:00 am	TBA	M. Hauskrecht	milos		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25709	1060	ByAppt	12:00 am	12:00 am	TBA	S. Lee	stl86		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25710	1070	ByAppt	12:00 am	12:00 am	TBA	A. Kovashka	aik85		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25711	1080	ByAppt	12:00 am	12:00 am	TBA	A. Labrinidis	labrinid		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25712	1090	ByAppt	12:00 am	12:00 am	TBA	J. Lange	jlange		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25713	1100	ByAppt	12:00 am	12:00 am	TBA	A. Lee	adamlee		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25714	1110	ByAppt	12:00 am	12:00 am	TBA	D. Litman	dlitman		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25715	1120	ByAppt	12:00 am	12:00 am	TBA	R. Melhem	melhem		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25716	1130	ByAppt	12:00 am	12:00 am	TBA	D. Mosse	mosse		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25719	1140	ByAppt	12:00 am	12:00 am	TBA	S. Hwang	sjh95		THE	AT								0	2214	2020-10-28 11:42:18
CS	2000	25720	1150	ByAppt	12:00 am	12:00 am	TBA	TBD			THE	AT								0	2214	2020-10-28 11:42:18
