Subject Code,Course Number,Class Number,Associated Class Number,Days,Start Time,End Time,Room,Instructor(s),instructor_pittid,Ta(s),Type,Session,Writing,Enrollment Cap,Current Enrollment,Current Waitlist,cross_list_id,Notes,Description,deleted,Academic Term Code,last_modified
CS,1502,25568,1060,TuTh,1:15 PM,2:30 PM,TBA-50,T. Kosiyatrakul,tkosiyat,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1502,26946,1210,MW,11:05 AM,12:20 PM,TBA-50,T. Kosiyatrakul,tkosiyat,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1502,29279,1220,MW,3:25 PM,4:40 PM,TBA-50,T. Kosiyatrakul,tkosiyat,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1511,25626,1010,MW,9:25 AM,10:40 AM,TBA-30,K. Pruhs,krp2,,LEC,AT,,25,,,,,Enrollment Cap: 25,0,2214,10/28/2020 11:42
CS,1520,28325,1010,MW,3:25 PM,4:40 PM,TBA-50,N. Farnan,nlf4,,LEC,AT,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,1520,28324,1010,Tu,12:10 PM,1:00 PM,TBA,TBD,,,REC,SE3,,,,,,,,0,2214,10/28/2020 11:42
CS,1520,28326,1010,Tu,11:05 AM,11:55 AM,TBA,TBD,,J. Lee,REC,SE3,,,,,,,,0,2214,10/28/2020 11:42
CS,1520,25938,1100,W,6:30 PM,9:00 PM,TBA-50,J. Stambaugh,jvs15,,LEC,SE3,,50,,,,,Enrollment Cap: 50,0,2214,10/28/2020 11:42
CS,1520,25939,1100,Th,2:20 PM,3:10 PM,TBA,TBD,,,REC,SE3,,,,,,,,0,2214,10/28/2020 11:42
CS,1520,25940,1100,Th,3:25 PM,4:15 PM,TBA,TBD,,,REC,SE3,,,,,,,,0,2214,10/28/2020 11:42
CS,1530,25961,1020,TuTh,2:50 PM,4:05 PM,TBA-50,S. Sarwar,sms300,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1530,28327,1030,TuTh,1:15 PM,2:30 PM,TBA-50,S. Sarwar,sms300,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1541,25826,1010,MW,5:00 PM,6:15 PM,TBA-30,X. Tang,tax6,,LEC,AT,,,,,,REMOVE COE SECTION,REMOVE COE SECTION,0,2214,10/28/2020 11:42
CS,1550,25847,1060,TuTh,2:50 PM,4:05 PM,TBA-50,S. Khattab,ksm73,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1550,25849,1060,F,8:55 AM,9:45 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1550,25850,1060,F,12:10 PM,1:00 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1550,25869,1100,TuTh,11:05 AM,12:20 PM,TBA-50,S. Khattab,ksm73,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1550,25988,1100,Th,2:20 PM,3:10 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1550,25987,1100,F,10:00 AM,10:50 AM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1550,26923,1200,TuTh,9:25 AM,10:40 AM,TBA-50,S. Lee,stl86,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1550,26924,1200,Tu,4:30 PM,5:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1550,26925,1200,Tu,5:30 PM,6:20 PM,TBA,TBD,,,REC,AT,,,,,,,,0,2214,10/28/2020 11:42
CS,1555,26648,1090,MW,1:15 PM,2:30 PM,TBA-50,K. Kosta,kok25,,LEC,AT,,,,,,,,0,2214,10/28/2020 11:42
